CityMEE,keyRegionZH,PM25_target,Heavy_Pollution_Target,target_period,base_period,CityZH,CityEN,Province,base_PM25,keyRegion2018,2019Q4,2019Q1
渭南市,汾渭平原,65,6,2020Q4,2019Q4,渭南,Weinan,Shaanxi,68,Fenwei,68,102.6666667
（韩城市）,汾渭平原,65,6,2020Q4,2019Q4,（韩城）,sub-city region,#N/A,#N/A,Fenwei,#N/A,#N/A
（杨凌示范区）,汾渭平原,65,5,2020Q4,2019Q4,（杨凌示范区）,sub-city region,#N/A,#N/A,Fenwei,#N/A,#N/A
北京市,京津冀及周边地区,54,5,2021Q1,2019Q1,北京,Beijing,Beijing,52.33333333,2+26,43,52.33333333
天津市,京津冀及周边地区,69,8,2021Q1,2019Q1,天津,Tianjin,Tianjin,71.33333333,2+26,53.66666667,71.33333333
石家庄市,京津冀及周边地区,104,18,2021Q1,2019Q1,石家庄,Shijiazhuang,Hebei,110.3333333,2+26,68.66666667,110.3333333
（辛集市）,京津冀及周边地区,104,18,2021Q1,2019Q1,（辛集）,sub-city region,#N/A,#N/A,2+26,#N/A,#N/A
唐山市,京津冀及周边地区,71,6,2021Q1,2019Q1,唐山,Tangshan,Hebei,73,2+26,58.33333333,73
邯郸市,京津冀及周边地区,102,17,2021Q1,2019Q1,邯郸,Handan,Hebei,108.6666667,2+26,70.33333333,108.6666667
邢台市,京津冀及周边地区,102,19,2021Q1,2019Q1,邢台,Xingtai,Hebei,109.6666667,2+26,69.33333333,109.6666667
保定市,京津冀及周边地区,97,16,2021Q1,2019Q1,保定,Baoding,Hebei,103.6666667,2+26,59,103.6666667
（定州市）,京津冀及周边地区,104,18,2021Q1,2019Q1,（定州）,sub-city region,#N/A,#N/A,2+26,#N/A,#N/A
沧州市,京津冀及周边地区,73,8,2021Q1,2019Q1,沧州,Cangzhou,Hebei,76.33333333,2+26,57.66666667,76.33333333
廊坊市,京津冀及周边地区,69,8,2021Q1,2019Q1,廊坊,Langfang,Hebei,70.33333333,2+26,49,70.33333333
衡水市,京津冀及周边地区,84,11,2021Q1,2019Q1,衡水,Hengshui,Hebei,90.33333333,2+26,64.33333333,90.33333333
太原市,京津冀及周边地区,80,9,2021Q1,2019Q1,太原,Taiyuan,Shanxi,84,2+26,62,84
阳泉市,京津冀及周边地区,77,9,2021Q1,2019Q1,阳泉,Yangquan,Shanxi,81.33333333,2+26,52.66666667,81.33333333
长治市,京津冀及周边地区,74,6,2021Q1,2019Q1,长治,Changzhi,Shanxi,77.33333333,2+26,45,77.33333333
晋城市,京津冀及周边地区,82,11,2021Q1,2019Q1,晋城,Jincheng,Shanxi,88,2+26,55,88
济南市,京津冀及周边地区,79,8,2021Q1,2019Q1,济南,Jinan,Shandong,83.33333333,2+26,63.66666667,83.33333333
淄博市,京津冀及周边地区,81,10,2021Q1,2019Q1,淄博,Zibo,Shandong,86.33333333,2+26,66,86.33333333
济宁市,京津冀及周边地区,84,10,2021Q1,2019Q1,济宁,Jining,Shandong,75.33333333,2+26,71.66666667,75.33333333
德州市,京津冀及周边地区,81,10,2021Q1,2019Q1,德州,Dezhou,Shandong,87.33333333,2+26,61,87.33333333
聊城市,京津冀及周边地区,86,12,2021Q1,2019Q1,聊城,Liaocheng,Shandong,92,2+26,67.66666667,92
滨州市,京津冀及周边地区,79,10,2021Q1,2019Q1,滨州,Binzhou,Shandong,83.33333333,2+26,58,83.33333333
菏泽市,京津冀及周边地区,90,11,2021Q1,2019Q1,菏泽,Heze,Shandong,95.66666667,2+26,69,95.66666667
郑州市,京津冀及周边地区,94,15,2021Q1,2019Q1,郑州,Zhengzhou,Henan,99,2+26,64.66666667,99
开封市,京津冀及周边地区,99,15,2021Q1,2019Q1,开封,Kaifeng,Henan,105.6666667,2+26,67.66666667,105.6666667
安阳市,京津冀及周边地区,113,18,2021Q1,2019Q1,安阳,Anyang,Henan,120,2+26,84.33333333,120
鹤壁市,京津冀及周边地区,91,14,2021Q1,2019Q1,鹤壁,Hebi,Henan,95.66666667,2+26,75.66666667,95.66666667
新乡市,京津冀及周边地区,87,12,2021Q1,2019Q1,新乡,Xinxiang,Henan,92.66666667,2+26,64.33333333,92.66666667
焦作市,京津冀及周边地区,98,16,2021Q1,2019Q1,焦作,Jiaozuo,Henan,104.6666667,2+26,69.33333333,104.6666667
濮阳市,京津冀及周边地区,104,18,2021Q1,2019Q1,濮阳,Puyang,Henan,111.6666667,2+26,75.66666667,111.6666667
（济源市）,京津冀及周边地区,98,16,2021Q1,2019Q1,（济源）,sub-city region,#N/A,#N/A,2+26,#N/A,#N/A
晋中市,汾渭平原,72,5,2021Q1,2019Q1,晋中,Jinzhong,Shanxi,73.33333333,Fenwei,48,73.33333333
运城市,汾渭平原,95,12,2021Q1,2019Q1,运城,Yuncheng,Shanxi,100.3333333,Fenwei,76.66666667,100.3333333
临汾市,汾渭平原,104,17,2021Q1,2019Q1,临汾,Linfen,Shanxi,110,Fenwei,66,110
吕梁市,汾渭平原,63,2,2021Q1,2019Q1,吕梁,Luliang,Shanxi,63.33333333,Fenwei,40,63.33333333
洛阳市,汾渭平原,100,18,2021Q1,2019Q1,洛阳,Luoyang,Henan,106.3333333,Fenwei,74.66666667,106.3333333
三门峡市,汾渭平原,88,11,2021Q1,2019Q1,三门峡,Sanmenxia,Henan,93,Fenwei,63.66666667,93
西安市,汾渭平原,94,15,2021Q1,2019Q1,西安,Xi'an,Shaanxi,99.66666667,Fenwei,72.66666667,99.66666667
（西咸新区）,汾渭平原,98,20,2021Q1,2019Q1,（西咸新区）,sub-city region,#N/A,#N/A,Fenwei,#N/A,#N/A
铜川市,汾渭平原,76,5,2021Q1,2019Q1,铜川,Tongchuan,Shaanxi,79.33333333,Fenwei,52.66666667,79.33333333
宝鸡市,汾渭平原,88,12,2021Q1,2019Q1,宝鸡,Baoji,Shaanxi,93.33333333,Fenwei,61.66666667,93.33333333
咸阳市,汾渭平原,113,22,2021Q1,2019Q1,咸阳,Xianyang,Shaanxi,119.6666667,Fenwei,77,119.6666667
